이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,고객 세그먼트,차량구분,구매한 제품,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,Cluster,시구
오서연,1995-07-07,30,여,323664016,ojeonghun@yu.com,경기도 수원시 영통구 원천동 12-34,caeweon59,2022-10-24,일반,픽업트럭,Avante (CN7 N),2023-06-09,32920000,카드,1,온라인,2020-05,6,경기도 수원시
김정희,1997-10-12,28,여,193115666,hanjeongung@ju.com,충청북도 청주시 상당구 낙실동 9-1,wi,2023-05-04,일반,준중형 세단,G70 (IK),2024-12-03,86690000,카드,3,온라인,2017-09,3,충청북도 청주시
이지혜,2003-05-26,22,여,518560687,ijinho@gmail.com,전라북도 전주시 완산구 덕진동 33-7,ecoe,2023-12-25,일반,픽업트럭,G70 (IK),2024-07-22,84800000,현금,3,온라인,2017-09,3,전라북도 전주시
윤성훈,1955-06-23,70,여,523660874,jjo@gmail.com,경기도 수원시 영통구 원천동 12-34,gimjeongsug,2023-06-26,일반,대형 suv,G80 (RG3),2023-03-25,83330000,현금,1,온라인,2020-03,1,경기도 수원시
김서연,1961-05-28,64,남,194660745,yi@gmail.com,광주광역시 서구 치평동 14-7,dohyeonbae,2024-06-22,일반,준중형 세단,G70 (IK),2023-08-27,55580000,카드,5,오프라인,2017-09,5,광주광역시 서구
손지후,1959-04-27,66,여,535283443,qyun@hanmail.net,경기도 수원시 영통구 원천동 12-34,seongjinbae,2022-08-15,일반,소형 해치백,Avante (CN7 N),2025-02-10,54060000,현금,2,온라인,2020-05,2,경기도 수원시
전정수,2002-07-01,23,여,437369120,yeongsuggim@live.com,경기도 성남시 분당구 정자동 56-78,byeongceol79,2025-03-07,이탈가능,중형 suv,NEXO (FE),2024-01-16,62760000,카드,2,오프라인,2018-01,3,경기도 성남시
구주원,1963-09-08,62,여,613108327,gimyeeun@hanmail.net,충청북도 청주시 상당구 낙실동 9-1,lgweon,2024-02-27,일반,준대형 세단,G70 (IK),2024-12-26,67440000,현금,5,온라인,2017-09,5,충청북도 청주시
박영호,1995-01-09,30,남,429181515,seojun75@hotmail.com,경기도 수원시 영통구 원천동 12-34,gwangsu15,2024-04-20,일반,픽업트럭,NEXO (FE),2023-06-11,44780000,현금,4,오프라인,2018-01,4,경기도 수원시
박현정,1977-03-28,48,남,1038015326,siusin@najeonggim.kr,서울특별시 종로구 청운동 67-89,jeongjaryu,2023-06-24,vip,소형 해치백,NEXO (FE),2024-07-21,46850000,현금,1,오프라인,2018-01,7,서울특별시 종로구
이유진,2001-09-01,24,여,550543726,sangho57@yuhanhoesa.kr,울산광역시 남구 달동 23-5,doyungim,2024-08-09,일반,소형 해치백,Santa-Fe ™,2025-03-07,50720000,현금,5,오프라인,2018-01,4,울산광역시 남구
한순옥,1967-09-01,58,여,537655303,seongjin46@daum.net,경상북도 포항시 남구 대도동 19-2,migyeong21,2022-08-25,일반,대형 suv,Santa-Fe ™,2024-03-02,42510000,카드,4,오프라인,2018-01,2,경상북도 포항시
이성수,1996-02-04,29,남,631752716,minjinam@live.com,부산광역시 해운대구 우동 101-12,jiweon44,2023-10-08,일반,대형 suv,Avante (CN7 N),2025-02-01,36500000,현금,5,온라인,2020-05,4,부산광역시 해운대구
박민수,1982-08-24,43,여,326559227,xgim@nate.com,서울특별시 강남구 역삼동 123-45,gyeonghyi14,2024-10-11,이탈가능,소형 해치백,G80 (RG3),2024-02-09,88690000,현금,4,온라인,2020-03,0,서울특별시 강남구
노지훈,1974-10-12,51,여,619106439,misug04@hotmail.com,경기도 성남시 분당구 정자동 56-78,sujin21,2023-03-30,vip,픽업트럭,NEXO (FE),2023-08-07,33070000,카드,3,오프라인,2018-01,7,경기도 성남시
권민서,1963-12-17,62,남,170252354,gimjunseo@hanmail.net,울산광역시 남구 달동 23-5,dim,2022-12-06,일반,준대형 세단,G70 (IK),2025-01-01,84160000,현금,1,온라인,2017-09,1,울산광역시 남구
최상철,1983-04-17,42,남,550784271,gimeunjeong@dreamwiz.com,서울특별시 종로구 청운동 67-89,bagdoyun,2025-01-02,신규,준대형 세단,G70 (IK),2024-09-25,36850000,카드,3,온라인,2017-09,6,서울특별시 종로구
최중수,1986-12-26,39,여,414170559,yi@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,hyeonjun76,2024-10-02,일반,준대형 세단,Avante (CN7 N),2024-06-19,59410000,카드,1,오프라인,2020-05,6,경기도 성남시
임진우,1969-01-06,56,남,630905344,hwangjeongho@ju.com,전라북도 전주시 완산구 덕진동 33-7,obag,2022-08-07,일반,중형 suv,G70 (IK),2025-02-08,46640000,현금,1,오프라인,2017-09,2,전라북도 전주시
나선영,1975-07-01,50,여,336803642,jiyeongim@jogim.com,충청북도 청주시 상당구 낙실동 9-1,songseoyun,2023-04-28,이탈가능,준중형 세단,Santa-Fe ™,2023-12-07,78930000,현금,1,온라인,2018-01,1,충청북도 청주시
이정식,1959-05-12,66,여,529260479,jiyeong90@hagim.com,경상남도 창원시 의창구 봉곡동 48-6,gimjeongsig,2023-04-09,이탈가능,소형 해치백,G80 (RG3),2024-12-15,63210000,카드,3,오프라인,2020-03,2,경상남도 창원시
김정숙,1972-04-08,53,남,618304047,jimingim@yuhanhoesa.net,서울특별시 강남구 역삼동 123-45,fgim,2022-04-30,vip,중형 suv,G80 (RG3),2024-11-24,86560000,현금,2,오프라인,2020-03,1,서울특별시 강남구
송수빈,1959-08-02,66,여,182307846,caeweon00@yu.kr,경기도 수원시 영통구 원천동 12-34,sangceolgim,2024-09-04,vip,소형 해치백,Avante (CN7 N),2024-07-24,71030000,카드,2,온라인,2020-05,2,경기도 수원시
강승현,1986-05-25,39,남,556869236,yujinjang@yungang.com,부산광역시 해운대구 우동 101-12,gimhyeonsug,2022-03-24,이탈가능,중형 suv,G70 (IK),2025-02-16,46720000,카드,4,온라인,2017-09,4,부산광역시 해운대구
황준혁,1964-04-14,61,여,328233485,gca@hanmail.net,광주광역시 서구 치평동 14-7,gbag,2024-04-04,이탈가능,준중형 세단,G70 (IK),2023-08-28,51540000,현금,2,오프라인,2017-09,2,광주광역시 서구
장건우,1981-05-10,44,남,7081066622,seungminno@nate.com,대전광역시 유성구 봉명동 44-2,jiweoni,2025-01-09,vip,중형 suv,NEXO (FE),2023-05-09,40970000,현금,4,오프라인,2018-01,4,대전광역시 유성구
김지은,1972-03-12,53,여,553402117,sumin11@gimi.com,충청북도 청주시 상당구 낙실동 9-1,sanghunhwang,2022-10-30,일반,준중형 세단,G80 (RG3),2023-07-30,41620000,카드,3,온라인,2020-03,2,충청북도 청주시
서춘자,1969-05-19,56,여,188969405,fgim@dreamwiz.com,서울특별시 종로구 청운동 67-89,obag,2022-09-13,일반,대형 suv,G70 (IK),2023-04-23,33470000,카드,1,온라인,2017-09,2,서울특별시 종로구
윤병철,1966-05-04,59,여,422055394,wyu@gmail.com,경기도 성남시 분당구 정자동 56-78,yeongceol55,2025-02-03,vip,중형 suv,G80 (RG3),2024-06-24,48350000,현금,1,온라인,2020-03,2,경기도 성남시
서서현,1983-10-08,42,여,199059908,gimjihye@yu.kr,서울특별시 강남구 역삼동 123-45,nhwang,2025-03-11,vip,중형 suv,Santa-Fe ™,2025-02-26,38960000,현금,5,온라인,2018-01,4,서울특별시 강남구
오옥자,2002-07-29,23,여,325296473,hanyeweon@daum.net,전라남도 목포시 부주동 77-8,hyeonjun11,2025-01-20,vip,대형 suv,Avante (CN7 N),2023-06-22,62910000,현금,1,온라인,2020-05,3,전라남도 목포시
박건우,1990-12-09,35,남,626985201,kgim@yu.org,전라남도 목포시 부주동 77-8,mgang,2023-02-16,vip,소형 해치백,Santa-Fe ™,2024-07-16,82580000,현금,5,오프라인,2018-01,0,전라남도 목포시
허경수,1983-03-05,42,여,630105636,hayungo@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,gimsanghyeon,2023-04-02,이탈가능,준중형 세단,G80 (RG3),2023-08-08,72970000,현금,1,온라인,2020-03,3,경기도 성남시
박도윤,1966-01-12,59,여,318785882,sujin49@yunigim.com,경기도 성남시 분당구 정자동 56-78,jeongsugang,2022-07-12,이탈가능,준중형 세단,Avante (CN7 N),2024-10-18,45780000,카드,5,온라인,2020-05,5,경기도 성남시
윤현지,1960-07-13,65,남,1013470188,yeongja88@nate.com,서울특별시 종로구 청운동 67-89,xson,2023-05-04,일반,소형 해치백,NEXO (FE),2024-11-13,42150000,카드,5,온라인,2018-01,5,서울특별시 종로구
오승현,1984-11-30,41,여,170253428,seoyeong20@nate.com,경기도 수원시 영통구 원천동 12-34,hyeonugang,2023-01-29,이탈가능,준중형 세단,G80 (RG3),2025-01-18,47850000,현금,2,오프라인,2020-03,3,경기도 수원시
권재호,1954-04-06,71,남,328256328,sunja41@jusighoesa.com,전라남도 목포시 부주동 77-8,jeongyeji,2025-02-11,vip,픽업트럭,NEXO (FE),2024-12-23,80220000,카드,3,오프라인,2018-01,5,전라남도 목포시
류경숙,1956-01-22,69,여,443313217,ominjae@daum.net,경상남도 창원시 의창구 봉곡동 48-6,seoyun45,2023-07-28,일반,준대형 세단,G70 (IK),2024-09-09,39500000,현금,3,온라인,2017-09,2,경상남도 창원시
노상훈,1958-03-21,67,남,438593755,seoyuncoe@ju.com,부산광역시 해운대구 우동 101-12,xgim,2023-03-03,일반,소형 해치백,Avante (CN7 N),2024-03-15,32560000,현금,5,오프라인,2020-05,5,부산광역시 해운대구
양지훈,2003-11-14,22,남,510751587,jeongeunjeong@yu.com,경기도 수원시 영통구 원천동 12-34,mbag,2024-08-31,vip,중형 suv,G70 (IK),2024-04-10,73440000,카드,5,오프라인,2017-09,0,경기도 수원시
박지민,1975-10-13,50,남,549640514,xi@gmail.com,전라북도 전주시 완산구 덕진동 33-7,jihun46,2022-06-28,일반,대형 suv,G80 (RG3),2024-11-09,37590000,카드,5,온라인,2020-03,4,전라북도 전주시
박정훈,1985-07-18,40,여,162962255,ujin05@ju.com,광주광역시 서구 치평동 14-7,gangyeongsig,2022-04-28,일반,중형 suv,NEXO (FE),2024-07-02,88110000,현금,5,온라인,2018-01,0,광주광역시 서구
최영일,1977-05-21,48,여,647208444,jihye76@daum.net,충청남도 천안시 동남구 성성동 22-3,bagjeonghun,2024-10-03,vip,소형 해치백,Avante (CN7 N),2024-01-22,35270000,현금,3,오프라인,2020-05,2,충청남도 천안시
곽도윤,1955-03-14,70,여,625214695,bagseojun@dreamwiz.com,경상북도 포항시 남구 대도동 19-2,ygo,2023-07-29,이탈가능,대형 suv,G80 (RG3),2023-04-18,58550000,현금,2,온라인,2020-03,2,경상북도 포항시
양은주,1999-02-28,26,남,538332005,cyun@hanmail.net,서울특별시 강남구 역삼동 123-45,rjang,2022-03-18,일반,준대형 세단,G80 (RG3),2023-07-19,30240000,현금,1,온라인,2020-03,6,서울특별시 강남구
김영식,1982-07-15,43,남,428396549,dgim@bagbaggim.kr,광주광역시 서구 치평동 14-7,ihyeonji,2023-10-08,일반,소형 해치백,Santa-Fe ™,2024-01-07,63000000,현금,2,온라인,2018-01,1,광주광역시 서구
장지현,1969-12-24,56,여,446344611,donghyeon73@nate.com,경기도 성남시 분당구 정자동 56-78,byeongceoljang,2023-07-14,vip,픽업트럭,Santa-Fe ™,2024-10-25,39900000,현금,3,온라인,2018-01,2,경기도 성남시
김영숙,1962-01-28,63,여,415586978,eungyeonghan@yuhanhoesa.com,서울특별시 종로구 청운동 67-89,jgim,2023-06-05,vip,준대형 세단,G70 (IK),2023-12-14,74130000,현금,2,오프라인,2017-09,1,서울특별시 종로구
홍영철,1964-12-10,61,여,172670446,bagjihu@gimcoe.com,서울특별시 강남구 역삼동 123-45,gimseohyeon,2024-02-18,일반,중형 suv,G80 (RG3),2024-06-03,49970000,현금,5,온라인,2020-03,5,서울특별시 강남구
박상철,1997-01-18,28,여,554388408,kji@naver.com,충청북도 청주시 상당구 낙실동 9-1,iyeongho,2024-05-26,이탈가능,대형 suv,G70 (IK),2024-01-19,36350000,카드,3,온라인,2017-09,6,충청북도 청주시
이영희,1999-12-03,26,여,176260398,obag@daum.net,인천광역시 남동구 구월동 88-10,minjaesin,2022-07-10,이탈가능,중형 suv,Santa-Fe ™,2023-12-27,75750000,현금,3,오프라인,2018-01,3,인천광역시 남동구
박영일,1990-06-02,35,여,187477038,ogim@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sunja59,2023-05-08,일반,소형 해치백,G70 (IK),2024-04-12,71030000,현금,2,오프라인,2017-09,3,경상북도 포항시
최유진,1975-01-29,50,남,1086124722,jeongnami@dreamwiz.com,광주광역시 서구 치평동 14-7,nson,2024-08-29,이탈가능,대형 suv,G80 (RG3),2023-06-04,36960000,카드,4,온라인,2020-03,2,광주광역시 서구
김지민,1961-02-06,64,여,110530263,cson@ju.net,충청북도 청주시 상당구 낙실동 9-1,songseongjin,2025-01-11,vip,준대형 세단,G70 (IK),2023-03-13,56890000,현금,5,오프라인,2017-09,5,충청북도 청주시
한옥순,1958-06-16,67,남,7022584070,fbag@gmail.com,경상북도 포항시 남구 대도동 19-2,seoyun92,2022-03-31,일반,픽업트럭,Santa-Fe ™,2023-10-27,71090000,현금,4,온라인,2018-01,5,경상북도 포항시
최옥순,1978-10-17,47,여,7047424824,jeongungu@ju.com,대전광역시 유성구 봉명동 44-2,baeggyeongja,2023-08-13,vip,준중형 세단,Santa-Fe ™,2024-05-17,60370000,카드,2,온라인,2018-01,3,대전광역시 유성구
이예진,1973-06-05,52,남,312403953,seojun19@daum.net,서울특별시 종로구 청운동 67-89,mjo,2022-07-13,이탈가능,중형 suv,NEXO (FE),2023-12-31,35430000,현금,4,온라인,2018-01,4,서울특별시 종로구
노예은,1981-06-21,44,남,190210653,jieunbag@gmail.com,광주광역시 서구 치평동 14-7,kgim,2023-06-20,이탈가능,중형 suv,G80 (RG3),2024-01-31,40290000,현금,1,오프라인,2020-03,2,광주광역시 서구
최영길,1984-05-27,41,남,532831629,jaeho60@ju.com,대구광역시 수성구 범어동 55-3,yeongsigi,2022-05-11,일반,대형 suv,Santa-Fe ™,2024-06-05,77340000,현금,4,온라인,2018-01,0,대구광역시 수성구
신시우,1958-07-11,67,여,422076955,gyeonghyi78@gmail.com,전라북도 전주시 완산구 덕진동 33-7,jihungim,2023-03-06,일반,준중형 세단,G80 (RG3),2024-12-20,86770000,카드,2,온라인,2020-03,1,전라북도 전주시
최춘자,1976-06-27,49,여,311707739,hancunja@yu.kr,충청남도 천안시 동남구 성성동 22-3,jinho50,2024-08-26,일반,준대형 세단,Avante (CN7 N),2023-08-24,69510000,현금,3,오프라인,2020-05,3,충청남도 천안시
차서준,1968-01-22,57,여,647413740,qgim@simryujo.com,경상남도 창원시 의창구 봉곡동 48-6,jihun41,2023-01-02,vip,준대형 세단,NEXO (FE),2024-01-12,39890000,현금,2,온라인,2018-01,7,경상남도 창원시
안정희,1984-01-10,41,남,514061803,donghyeonbae@joyunson.com,대구광역시 수성구 범어동 55-3,yeongil47,2023-04-08,일반,소형 해치백,G80 (RG3),2024-01-30,44530000,현금,2,온라인,2020-03,6,대구광역시 수성구
최민수,1960-06-24,65,여,410283477,ihyejin@jusighoesa.kr,전라남도 목포시 부주동 77-8,gyeongsugson,2022-11-08,vip,대형 suv,G80 (RG3),2024-06-28,43950000,현금,5,오프라인,2020-03,5,전라남도 목포시
