이름 (Name),생년월일 (Date of Birth),연령,성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),고객 세그먼트 (Customer Segment),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path),제품 출시년월 (Launch Date),Cluster
이유진,2001-09-01,24,여,055-054-3726,sangho57@yuhanhoesa.kr,울산광역시 남구 달동 23-5,doyungim,2024-08-09,신규,소형 해치백,Santa-Fe ™,2025-03-07,50720000,현금,5,오프라인,2018-01,3
한순옥,1967-09-01,58,여,053-765-5303,seongjin46@daum.net,경상북도 포항시 남구 대도동 19-2,migyeong21,2022-08-25,일반,대형 suv,Santa-Fe ™,2024-03-02,42510000,카드,4,오프라인,2018-01,1
이성수,1996-02-04,29,남,063-175-2716,minjinam@live.com,부산광역시 해운대구 우동 101-12,jiweon44,2023-10-08,일반,대형 suv,Avante (CN7 N),2025-02-01,36500000,현금,5,온라인,2020-05,3
박민수,1982-08-24,43,여,032-655-9227,xgim@nate.com,서울특별시 강남구 역삼동 123-45,gyeonghyi14,2024-10-11,이탈가능,소형 해치백,G80 (RG3),2024-02-09,88690000,현금,4,온라인,2020-03,0
노지훈,1974-10-12,51,여,061-910-6439,misug04@hotmail.com,경기도 성남시 분당구 정자동 56-78,sujin21,2023-03-30,vip,픽업트럭,NEXO (FE),2023-08-07,33070000,카드,3,오프라인,2018-01,1
권민서,1963-12-17,62,남,017-025-2354,gimjunseo@hanmail.net,울산광역시 남구 달동 23-5,dim,2022-12-06,일반,준대형 세단,G70 (IK),2025-01-01,84160000,현금,1,온라인,2017-09,5
최상철,1983-04-17,42,남,055-078-4271,gimeunjeong@dreamwiz.com,서울특별시 종로구 청운동 67-89,bagdoyun,2025-01-02,신규,준대형 세단,G70 (IK),2024-09-25,36850000,카드,3,온라인,2017-09,2
최중수,1986-12-26,39,여,041-417-0559,yi@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,hyeonjun76,2024-10-02,신규,준대형 세단,Avante (CN7 N),2024-06-19,59410000,카드,1,오프라인,2020-05,2
임진우,1969-01-06,56,남,063-090-5344,hwangjeongho@ju.com,전라북도 전주시 완산구 덕진동 33-7,obag,2022-08-07,일반,중형 suv,G70 (IK),2025-02-08,46640000,현금,1,오프라인,2017-09,4
나선영,1975-07-01,50,여,033-680-3642,jiyeongim@jogim.com,충청북도 청주시 상당구 낙실동 9-1,songseoyun,2023-04-28,이탈가능,준중형 세단,Santa-Fe ™,2023-12-07,78930000,현금,1,온라인,2018-01,5
이정식,1959-05-12,66,여,052-926-0479,jiyeong90@hagim.com,경상남도 창원시 의창구 봉곡동 48-6,gimjeongsig,2023-04-09,이탈가능,소형 해치백,G80 (RG3),2024-12-15,63210000,카드,3,오프라인,2020-03,4
김정숙,1972-04-08,53,남,061-830-4047,jimingim@yuhanhoesa.net,서울특별시 강남구 역삼동 123-45,fgim,2022-04-30,vip,중형 suv,G80 (RG3),2024-11-24,86560000,현금,2,오프라인,2020-03,5
송수빈,1959-08-02,66,여,018-230-7846,caeweon00@yu.kr,경기도 수원시 영통구 원천동 12-34,sangceolgim,2024-09-04,vip,소형 해치백,Avante (CN7 N),2024-07-24,71030000,카드,2,온라인,2020-05,4
강승현,1986-05-25,39,남,055-686-9236,yujinjang@yungang.com,부산광역시 해운대구 우동 101-12,gimhyeonsug,2022-03-24,이탈가능,중형 suv,G70 (IK),2025-02-16,46720000,카드,4,온라인,2017-09,1
황준혁,1964-04-14,61,여,032-823-3485,gca@hanmail.net,광주광역시 서구 치평동 14-7,gbag,2024-04-04,이탈가능,준중형 세단,G70 (IK),2023-08-28,51540000,현금,2,오프라인,2017-09,4
장건우,1981-05-10,44,남,070-8106-6622,seungminno@nate.com,대전광역시 유성구 봉명동 44-2,jiweoni,2025-01-09,vip,중형 suv,NEXO (FE),2023-05-09,40970000,현금,4,오프라인,2018-01,1
김지은,1972-03-12,53,여,055-340-2117,sumin11@gimi.com,충청북도 청주시 상당구 낙실동 9-1,sanghunhwang,2022-10-30,신규,준중형 세단,G80 (RG3),2023-07-30,41620000,카드,3,온라인,2020-03,4
서춘자,1969-05-19,56,여,018-896-9405,fgim@dreamwiz.com,서울특별시 종로구 청운동 67-89,obag,2022-09-13,일반,대형 suv,G70 (IK),2023-04-23,33470000,카드,1,온라인,2017-09,4
윤병철,1966-05-04,59,여,042-205-5394,wyu@gmail.com,경기도 성남시 분당구 정자동 56-78,yeongceol55,2025-02-03,vip,중형 suv,G80 (RG3),2024-06-24,48350000,현금,1,온라인,2020-03,4
서서현,1983-10-08,42,여,019-905-9908,gimjihye@yu.kr,서울특별시 강남구 역삼동 123-45,nhwang,2025-03-11,vip,중형 suv,Santa-Fe ™,2025-02-26,38960000,현금,5,온라인,2018-01,1
오옥자,2002-07-29,23,여,032-529-6473,hanyeweon@daum.net,전라남도 목포시 부주동 77-8,hyeonjun11,2025-01-20,vip,대형 suv,Avante (CN7 N),2023-06-22,62910000,현금,1,온라인,2020-05,3
박건우,1990-12-09,35,남,062-698-5201,kgim@yu.org,전라남도 목포시 부주동 77-8,mgang,2023-02-16,vip,소형 해치백,Santa-Fe ™,2024-07-16,82580000,현금,5,오프라인,2018-01,0
허경수,1983-03-05,42,여,063-010-5636,hayungo@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,gimsanghyeon,2023-04-02,이탈가능,준중형 세단,G80 (RG3),2023-08-08,72970000,현금,1,온라인,2020-03,5
박도윤,1966-01-12,59,여,031-878-5882,sujin49@yunigim.com,경기도 성남시 분당구 정자동 56-78,jeongsugang,2022-07-12,이탈가능,준중형 세단,Avante (CN7 N),2024-10-18,45780000,카드,5,온라인,2020-05,1
윤현지,1960-07-13,65,남,010-1347-0188,yeongja88@nate.com,서울특별시 종로구 청운동 67-89,xson,2023-05-04,일반,소형 해치백,NEXO (FE),2024-11-13,42150000,카드,5,온라인,2018-01,1
오승현,1984-11-30,41,여,017-025-3428,seoyeong20@nate.com,경기도 수원시 영통구 원천동 12-34,hyeonugang,2023-01-29,이탈가능,준중형 세단,G80 (RG3),2025-01-18,47850000,현금,2,오프라인,2020-03,4
권재호,1954-04-06,71,남,032-825-6328,sunja41@jusighoesa.com,전라남도 목포시 부주동 77-8,jeongyeji,2025-02-11,vip,픽업트럭,NEXO (FE),2024-12-23,80220000,카드,3,오프라인,2018-01,0
류경숙,1956-01-22,69,여,044-331-3217,ominjae@daum.net,경상남도 창원시 의창구 봉곡동 48-6,seoyun45,2023-07-28,신규,준대형 세단,G70 (IK),2024-09-09,39500000,현금,3,온라인,2017-09,1
노상훈,1958-03-21,67,남,043-859-3755,seoyuncoe@ju.com,부산광역시 해운대구 우동 101-12,xgim,2023-03-03,신규,소형 해치백,Avante (CN7 N),2024-03-15,32560000,현금,5,오프라인,2020-05,1
양지훈,2003-11-14,22,남,051-075-1587,jeongeunjeong@yu.com,경기도 수원시 영통구 원천동 12-34,mbag,2024-08-31,vip,중형 suv,G70 (IK),2024-04-10,73440000,카드,5,오프라인,2017-09,3
박지민,1975-10-13,50,남,054-964-0514,xi@gmail.com,전라북도 전주시 완산구 덕진동 33-7,jihun46,2022-06-28,일반,대형 suv,G80 (RG3),2024-11-09,37590000,카드,5,온라인,2020-03,1
박정훈,1985-07-18,40,여,016-296-2255,ujin05@ju.com,광주광역시 서구 치평동 14-7,gangyeongsig,2022-04-28,신규,중형 suv,NEXO (FE),2024-07-02,88110000,현금,5,온라인,2018-01,0
최영일,1977-05-21,48,여,064-720-8444,jihye76@daum.net,충청남도 천안시 동남구 성성동 22-3,bagjeonghun,2024-10-03,vip,소형 해치백,Avante (CN7 N),2024-01-22,35270000,현금,3,오프라인,2020-05,1
곽도윤,1955-03-14,70,여,062-521-4695,bagseojun@dreamwiz.com,경상북도 포항시 남구 대도동 19-2,ygo,2023-07-29,이탈가능,대형 suv,G80 (RG3),2023-04-18,58550000,현금,2,온라인,2020-03,4
양은주,1999-02-28,26,남,053-833-2005,cyun@hanmail.net,서울특별시 강남구 역삼동 123-45,rjang,2022-03-18,일반,준대형 세단,G80 (RG3),2023-07-19,30240000,현금,1,온라인,2020-03,2
김영식,1982-07-15,43,남,042-839-6549,dgim@bagbaggim.kr,광주광역시 서구 치평동 14-7,ihyeonji,2023-10-08,일반,소형 해치백,Santa-Fe ™,2024-01-07,63000000,현금,2,온라인,2018-01,5
장지현,1969-12-24,56,여,044-634-4611,donghyeon73@nate.com,경기도 성남시 분당구 정자동 56-78,byeongceoljang,2023-07-14,vip,픽업트럭,Santa-Fe ™,2024-10-25,39900000,현금,3,온라인,2018-01,1
김영숙,1962-01-28,63,여,041-558-6978,eungyeonghan@yuhanhoesa.com,서울특별시 종로구 청운동 67-89,jgim,2023-06-05,vip,준대형 세단,G70 (IK),2023-12-14,74130000,현금,2,오프라인,2017-09,5
홍영철,1964-12-10,61,여,017-267-0446,bagjihu@gimcoe.com,서울특별시 강남구 역삼동 123-45,gimseohyeon,2024-02-18,신규,중형 suv,G80 (RG3),2024-06-03,49970000,현금,5,온라인,2020-03,1
박상철,1997-01-18,28,여,055-438-8408,kji@naver.com,충청북도 청주시 상당구 낙실동 9-1,iyeongho,2024-05-26,이탈가능,대형 suv,G70 (IK),2024-01-19,36350000,카드,3,온라인,2017-09,3
이영희,1999-12-03,26,여,017-626-0398,obag@daum.net,인천광역시 남동구 구월동 88-10,minjaesin,2022-07-10,이탈가능,중형 suv,Santa-Fe ™,2023-12-27,75750000,현금,3,오프라인,2018-01,3
박영일,1990-06-02,35,여,018-747-7038,ogim@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sunja59,2023-05-08,일반,소형 해치백,G70 (IK),2024-04-12,71030000,현금,2,오프라인,2017-09,5
최유진,1975-01-29,50,남,010-8612-4722,jeongnami@dreamwiz.com,광주광역시 서구 치평동 14-7,nson,2024-08-29,이탈가능,대형 suv,G80 (RG3),2023-06-04,36960000,카드,4,온라인,2020-03,1
김지민,1961-02-06,64,여,011-053-0263,cson@ju.net,충청북도 청주시 상당구 낙실동 9-1,songseongjin,2025-01-11,vip,준대형 세단,G70 (IK),2023-03-13,56890000,현금,5,오프라인,2017-09,1
한옥순,1958-06-16,67,남,070-2258-4070,fbag@gmail.com,경상북도 포항시 남구 대도동 19-2,seoyun92,2022-03-31,신규,픽업트럭,Santa-Fe ™,2023-10-27,71090000,현금,4,온라인,2018-01,0
최옥순,1978-10-17,47,여,070-4742-4824,jeongungu@ju.com,대전광역시 유성구 봉명동 44-2,baeggyeongja,2023-08-13,vip,준중형 세단,Santa-Fe ™,2024-05-17,60370000,카드,2,온라인,2018-01,4
이예진,1973-06-05,52,남,031-240-3953,seojun19@daum.net,서울특별시 종로구 청운동 67-89,mjo,2022-07-13,이탈가능,중형 suv,NEXO (FE),2023-12-31,35430000,현금,4,온라인,2018-01,1
노예은,1981-06-21,44,남,019-021-0653,jieunbag@gmail.com,광주광역시 서구 치평동 14-7,kgim,2023-06-20,이탈가능,중형 suv,G80 (RG3),2024-01-31,40290000,현금,1,오프라인,2020-03,2
최영길,1984-05-27,41,남,053-283-1629,jaeho60@ju.com,대구광역시 수성구 범어동 55-3,yeongsigi,2022-05-11,일반,대형 suv,Santa-Fe ™,2024-06-05,77340000,현금,4,온라인,2018-01,0
신시우,1958-07-11,67,여,042-207-6955,gyeonghyi78@gmail.com,전라북도 전주시 완산구 덕진동 33-7,jihungim,2023-03-06,신규,준중형 세단,G80 (RG3),2024-12-20,86770000,카드,2,온라인,2020-03,4
최춘자,1976-06-27,49,여,031-170-7739,hancunja@yu.kr,충청남도 천안시 동남구 성성동 22-3,jinho50,2024-08-26,신규,준대형 세단,Avante (CN7 N),2023-08-24,69510000,현금,3,오프라인,2020-05,5
차서준,1968-01-22,57,여,064-741-3740,qgim@simryujo.com,경상남도 창원시 의창구 봉곡동 48-6,jihun41,2023-01-02,vip,준대형 세단,NEXO (FE),2024-01-12,39890000,현금,2,온라인,2018-01,4
안정희,1984-01-10,41,남,051-406-1803,donghyeonbae@joyunson.com,대구광역시 수성구 범어동 55-3,yeongil47,2023-04-08,신규,소형 해치백,G80 (RG3),2024-01-30,44530000,현금,2,온라인,2020-03,2
최민수,1960-06-24,65,여,041-028-3477,ihyejin@jusighoesa.kr,전라남도 목포시 부주동 77-8,gyeongsugson,2022-11-08,vip,대형 suv,G80 (RG3),2024-06-28,43950000,현금,5,오프라인,2020-03,1
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,VIP,중형 세단,G70 (IK),2025-03-17,52551260,카드,3,온라인,2017-09,3
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,중형 세단,G70 (IK),2025-03-17,52551260,카드,3,온라인,2017-09,3
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,중형 세단,G70 (IK),2025-03-17,52551260,카드,3,온라인,2017-09,3
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,0,카드,0,온라인,2017-09,2
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,0,카드,0,온라인,2017-09,2
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,0,카드,0,온라인,2017-09,2
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,0,카드,0,온라인,2017-09,2
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,marurun,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,0,카드,0,온라인,2017-09,2
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,223,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,56789000,카드,2,온라인,2017-09,3
김예슬,2005-03-17,20,여,010-3595-0953,marurun@naver.com,경기 성남시 중원구 하대원동,223,2025-03-17,신규,준중형 세단,G70 (IK),2025-03-17,56789000,카드,2,온라인,2017-09,3
